TeamID,ParticipantID,ParticipantName,Email,Game,SkillLevel,Role,PersonalityScore,PersonalityType
7,P079,Participant_79,user79@university.edu,Chess,5,Supporter,97,Leader
7,P010,Participant_10,user10@university.edu,Valorant,5,Coordinator,96,Leader
7,P026,Participant_26,user26@university.edu,Chess,8,Strategist,74,Balanced
7,P041,Participant_41,user41@university.edu,Basketball,5,Strategist,70,Balanced
7,P048,Participant_48,user48@university.edu,Valorant,6,Defender,65,Thinker
8,P028,Participant_28,user28@university.edu,CS:GO,8,Defender,90,Leader
8,P090,Participant_90,user90@university.edu,Chess,5,Coordinator,62,Thinker
8,P052,Participant_52,user52@university.edu,FIFA,2,Attacker,99,Leader
8,P016,Participant_16,user16@university.edu,CS:GO,6,Strategist,90,Leader
8,P014,Participant_14,user14@university.edu,FIFA,3,Supporter,73,Balanced
8,P062,Participant_62,user62@university.edu,Basketball,6,Attacker,85,Balanced
8,P047,Participant_47,user47@university.edu,DOTA 2,10,Attacker,78,Balanced
8,P068,Participant_68,user68@university.edu,Chess,1,Defender,80,Balanced
8,P073,Participant_73,user73@university.edu,DOTA 2,8,Defender,100,Leader
9,P007,Participant_7,user7@university.edu,DOTA 2,5,Attacker,93,Leader
9,P030,Participant_30,user30@university.edu,CS:GO,4,Coordinator,54,Thinker
9,P023,Participant_23,user23@university.edu,CS:GO,3,Defender,87,Balanced
9,P086,Participant_86,user86@university.edu,FIFA,9,Strategist,89,Balanced
9,P074,Participant_74,user74@university.edu,FIFA,3,Supporter,82,Balanced
9,P027,Participant_27,user27@university.edu,Chess,6,Attacker,53,Thinker
9,P087,Participant_87,user87@university.edu,Basketball,4,Attacker,51,Thinker
9,P031,Participant_31,user31@university.edu,Basketball,8,Strategist,97,Leader
9,P038,Participant_38,user38@university.edu,Valorant,1,Defender,78,Balanced
10,P034,Participant_34,user34@university.edu,FIFA,7,Supporter,91,Leader
10,P078,Participant_78,user78@university.edu,FIFA,6,Defender,51,Thinker
10,P095,Participant_95,user95@university.edu,CS:GO,2,Coordinator,84,Balanced
10,P036,Participant_36,user36@university.edu,Chess,9,Strategist,65,Thinker
10,P017,Participant_17,user17@university.edu,CS:GO,10,Attacker,77,Balanced
10,P063,Participant_63,user63@university.edu,Chess,8,Defender,60,Thinker
10,P072,Participant_72,user72@university.edu,DOTA 2,5,Attacker,61,Thinker
10,P080,Participant_80,user80@university.edu,Basketball,1,Coordinator,82,Balanced
10,P049,Participant_49,user49@university.edu,Basketball,3,Supporter,95,Leader
11,P082,Participant_82,user82@university.edu,Valorant,10,Attacker,97,Leader
11,P069,Participant_69,user69@university.edu,CS:GO,5,Supporter,68,Thinker
11,P098,Participant_98,user98@university.edu,CS:GO,5,Defender,83,Balanced
11,P081,Participant_81,user81@university.edu,FIFA,10,Strategist,52,Thinker
11,P059,Participant_59,user59@university.edu,DOTA 2,4,Supporter,79,Balanced
11,P053,Participant_53,user53@university.edu,DOTA 2,7,Defender,71,Balanced
11,P066,Participant_66,user66@university.edu,Chess,1,Strategist,67,Thinker
11,P033,Participant_33,user33@university.edu,FIFA,7,Defender,65,Thinker
11,P009,Participant_9,user9@university.edu,CS:GO,6,Supporter,62,Thinker
0,P044,Participant_44,user44@university.edu,FIFA,6,Supporter,71,Balanced
