TeamID,ParticipantID,ParticipantName,Email,Game,SkillLevel,Role,PersonalityScore,PersonalityType
39,P026,Participant_26,user26@university.edu,Chess,8,Strategist,74,Balanced
39,P029,Participant_29,user29@university.edu,Basketball,5,Supporter,77,Balanced
39,P034,Participant_34,user34@university.edu,FIFA,7,Supporter,91,Leader
39,P047,Participant_47,user47@university.edu,DOTA 2,10,Attacker,78,Balanced
39,P053,Participant_53,user53@university.edu,DOTA 2,7,Defender,71,Balanced
39,P075,Participant_75,user75@university.edu,Valorant,8,Coordinator,53,Thinker
39,P078,Participant_78,user78@university.edu,FIFA,6,Defender,51,Thinker
39,P079,Participant_79,user79@university.edu,Chess,5,Supporter,97,Leader
39,P100,Participant_100,user100@university.edu,CS:GO,7,Coordinator,97,Leader
40,P015,Participant_15,user15@university.edu,DOTA 2,8,Coordinator,66,Thinker
40,P025,Participant_25,user25@university.edu,FIFA,9,Coordinator,100,Leader
40,P027,Participant_27,user27@university.edu,Chess,6,Attacker,53,Thinker
40,P028,Participant_28,user28@university.edu,CS:GO,8,Defender,90,Leader
40,P040,Participant_40,user40@university.edu,Chess,9,Coordinator,100,Leader
40,P050,Participant_50,user50@university.edu,Basketball,5,Coordinator,70,Balanced
40,P059,Participant_59,user59@university.edu,DOTA 2,4,Supporter,79,Balanced
40,P080,Participant_80,user80@university.edu,Basketball,1,Coordinator,82,Balanced
40,P081,Participant_81,user81@university.edu,FIFA,10,Strategist,52,Thinker
40,P095,Participant_95,user95@university.edu,CS:GO,2,Coordinator,84,Balanced
41,P001,Participant_1,user1@university.edu,Valorant,1,Strategist,20,Thinker
41,P021,Participant_21,user21@university.edu,FIFA,4,Strategist,64,Thinker
41,P023,Participant_23,user23@university.edu,CS:GO,3,Defender,87,Balanced
41,P042,Participant_42,user42@university.edu,DOTA 2,7,Attacker,53,Thinker
41,P045,Participant_45,user45@university.edu,Chess,2,Coordinator,68,Thinker
41,P055,Participant_55,user55@university.edu,Chess,8,Coordinator,90,Leader
41,P069,Participant_69,user69@university.edu,CS:GO,5,Supporter,68,Thinker
41,P073,Participant_73,user73@university.edu,DOTA 2,8,Defender,100,Leader
41,P077,Participant_77,user77@university.edu,FIFA,2,Attacker,89,Balanced
41,P092,Participant_92,user92@university.edu,Basketball,7,Attacker,70,Balanced
42,P004,Participant_4,user4@university.edu,Basketball,4,Supporter,91,Leader
42,P018,Participant_18,user18@university.edu,FIFA,3,Defender,51,Thinker
42,P022,Participant_22,user22@university.edu,Chess,9,Attacker,97,Leader
42,P066,Participant_66,user66@university.edu,Chess,1,Strategist,67,Thinker
42,P074,Participant_74,user74@university.edu,FIFA,3,Supporter,82,Balanced
42,P076,Participant_76,user76@university.edu,FIFA,7,Strategist,91,Leader
42,P084,Participant_84,user84@university.edu,FIFA,5,Supporter,63,Thinker
42,P086,Participant_86,user86@university.edu,FIFA,9,Strategist,89,Balanced
42,P094,Participant_94,user94@university.edu,CS:GO,2,Supporter,98,Leader
42,P096,Participant_96,user96@university.edu,DOTA 2,8,Strategist,56,Thinker
0,P002,Participant_2,user2@university.edu,FIFA,5,Attacker,80,Balanced
