ID	Name	Email	PreferredGame	SkillLevel	PreferredRole	PersonalityScore	PersonalityType
P086	Participant_86	user86@university.edu	FIFA	9	Strategist	89	Balanced
P087	Participant_87	user87@university.edu	Basketball	4	Attacker	51	Thinker
P088	Participant_88	user88@university.edu	FIFA	4	Defender	92	Leader
P089	Participant_89	user89@university.edu	Chess	6	Supporter	75	Balanced
P090	Participant_90	user90@university.edu	Chess	5	Coordinator	62	Thinker
P091	Participant_91	user91@university.edu	FIFA	10	Strategist	98	Leader
P092	Participant_92	user92@university.edu	Basketball	7	Attacker	70	Balanced
P093	Participant_93	user93@university.edu	CS:GO	4	Defender	51	Thinker
P094	Participant_94	user94@university.edu	CS:GO	2	Supporter	98	Leader
P095	Participant_95	user95@university.edu	CS:GO	2	Coordinator	84	Balanced
P096	Participant_96	user96@university.edu	DOTA 2	8	Strategist	56	Thinker
P097	Participant_97	user97@university.edu	FIFA	3	Attacker	96	Leader
P098	Participant_98	user98@university.edu	CS:GO	5	Defender	83	Balanced
P099	Participant_99	user99@university.edu	Valorant	3	Supporter	66	Thinker
P100	Participant_100	user100@university.edu	CS:GO	7	Coordinator	97	Leader
